
======================================================= 
Ontology Diagnostics
======================================================= 

--------------------------------------- 
Data properties annotations diagnostics
--------------------------------------- 
hasConfidence : without label [fr, en]
hasConfidence : without definition [fr, en]
hasDateTime : without label [fr, en]
hasDateTime : without definition [fr, en]
hasEndChannel : without label [fr, en]
hasEndChannel : without definition [fr, en]
hasEndTime : without label [fr, en]
hasEndTime : without definition [fr, en]
hasIntensityLevel : without label [fr, en]
hasIntensityLevel : without definition [fr, en]
hasLabel : without label [fr, en]
hasLabel : without definition [fr, en]
hasLocator : without label [fr, en]
hasLocator : without definition [fr, en]
hasMQTT.Broker : without label [fr, en]
hasMQTT.Broker : without definition [fr, en]
hasMQTT.ID : without label [fr, en]
hasMQTT.ID : without definition [fr, en]
hasMQTT.Topic : without label [fr, en]
hasMQTT.Topic : without definition [fr, en]
hasModelIRI : without label [fr, en]
hasModelIRI : without definition [fr, en]
hasNumberOfChannels : without label [fr, en]
hasNumberOfChannels : without definition [fr, en]
hasOffset : without label [fr, en]
hasOffset : without definition [fr, en]
hasOrdinalPosition : without label [fr, en]
hasOrdinalPosition : without definition [fr, en]
hasSampleCount : without label [fr, en]
hasSampleCount : without definition [fr, en]
hasSamplingRate : without label [fr, en]
hasSamplingRate : without definition [fr, en]
hasStartChannel : without label [fr, en]
hasStartChannel : without definition [fr, en]
hasStartTime : without label [fr, en]
hasStartTime : without definition [fr, en]
hasState : without label [fr, en]
hasState : without definition [fr, en]
hasTimeStamp : without label [fr, en]
hasTimeStamp : without definition [fr, en]
hasTitle : without label [fr, en]
hasTitle : without definition [fr, en]
hasType : without label [fr, en]
hasType : without definition [fr, en]

--------------------------------------- 
Object properties annotations diagnostics
--------------------------------------- 
aspectOfInterest : without label [fr, en]
aspectOfInterest : without definition [fr, en]
detects : without label [fr, en]
detects : without definition [fr, en]
forModality : without label [fr, en]
forModality : without definition [fr, en]
hasActuation : without label [fr, en]
hasActuation : without definition [fr, en]
hasChannelData : without label [fr, en]
hasChannelData : without definition [fr, en]
hasDescriptor : without label [fr, en]
hasDescriptor : without definition [fr, en]
hasDeviceSpec : without label [fr, en]
hasDeviceSpec : without definition [fr, en]
hasMeasurementProperty : without label [fr, en]
hasMeasurementProperty : without definition [fr, en]
hasNext : without label [fr, en]
hasNext : without definition [fr, en]
hasSession : without label [fr, en]
hasSession : without definition [fr, en]
isRecordOf : without label [fr, en]
isRecordOf : without definition [fr, en]
observedByDevice : without label [fr, en]
observedByDevice : without definition [fr, en]

--------------------------------------- 
Classes annotations diagnostics
--------------------------------------- 
Actuation : without label [fr, en]
Actuation : without definition [fr, en]
SubjectState : without label [fr, en]
SubjectState : without definition [fr, en]
Channel : without label [fr, en]
Channel : without definition [fr, en]
Interaction : without label [fr, en]
Interaction : without definition [fr, en]
Subject : without label [fr, en]
Subject : without definition [fr, en]
Context : without label [fr, en]
Context : without definition [fr, en]
Session : without label [fr, en]
Session : without definition [fr, en]
Descriptor : without label [fr, en]
Descriptor : without definition [fr, en]
ActuatorSpec : without label [fr, en]
ActuatorSpec : without definition [fr, en]
ChannelingSpec : without label [fr, en]
ChannelingSpec : without definition [fr, en]
DeviceSpec : without label [fr, en]
DeviceSpec : without definition [fr, en]
Record : without label [fr, en]
Record : without definition [fr, en]
Device : without label [fr, en]
Device : without definition [fr, en]
Aspect : without label [fr, en]
Aspect : without definition [fr, en]
NeurologicalAspect : without label [fr, en]
NeurologicalAspect : without definition [fr, en]
CognitiveAspect : without label [fr, en]
CognitiveAspect : without definition [fr, en]
EmotionalAspect : without label [fr, en]
EmotionalAspect : without definition [fr, en]
