
======================================================= 
Ontology Annotation Diagnostics
======================================================= 

--------------------------------------- 
Data properties annotations diagnostics
--------------------------------------- 

--------------------------------------- 
Object properties annotations diagnostics
--------------------------------------- 

--------------------------------------- 
Classes annotations diagnostics
--------------------------------------- 
anomalous_left_coronary_from_pulmonary_artery : without label [fr, en]
anomalous_left_coronary_from_pulmonary_artery : without definition [fr, en]
small_carpus : without label [fr, en]
small_carpus : without definition [fr, en]
cerebro_oculofacioskeletal_syndrome : without label [fr, en]
cerebro_oculofacioskeletal_syndrome : without definition [fr, en]
endometrial_fluid : without label [fr, en]
endometrial_fluid : without definition [fr, en]
lymphangioma_of_omentum : without label [fr, en]
lymphangioma_of_omentum : without definition [fr, en]
spondyloperipheral_dysplasia : without label [fr, en]
spondyloperipheral_dysplasia : without definition [fr, en]
interruption_of_aortic_arch_with_VSD_and_PDA : without label [fr, en]
interruption_of_aortic_arch_with_VSD_and_PDA : without definition [fr, en]
port_wine_nevi : without label [fr, en]
port_wine_nevi : without definition [fr, en]
chronic_magnesium_deficiency : without label [fr, en]
chronic_magnesium_deficiency : without definition [fr, en]
_methylglutaconic_aciduria_type_1 : without label [fr, en]
_methylglutaconic_aciduria_type_1 : without definition [fr, en]
_methylglutaconic_aciduria_type_3 : without label [fr, en]
_methylglutaconic_aciduria_type_3 : without definition [fr, en]
_methylglutaconic_aciduria_type_4 : without label [fr, en]
_methylglutaconic_aciduria_type_4 : without definition [fr, en]
mandibulofacial_dysostosis_lymphedema_syndrome : without label [fr, en]
mandibulofacial_dysostosis_lymphedema_syndrome : without definition [fr, en]
influenza_viruses : without label [fr, en]
influenza_viruses : without definition [fr, en]
aluminum_based_antacid_therapy : without label [fr, en]
aluminum_based_antacid_therapy : without definition [fr, en]
fractured_vertebra : without label [fr, en]
fractured_vertebra : without definition [fr, en]
spondyloepimetaphyseal_dysplasia_dominant_metatropic_type : without label [fr, en]
spondyloepimetaphyseal_dysplasia_dominant_metatropic_type : without definition [fr, en]
Caffey_disease_severe_variants_with_prenatal_onset : without label [fr, en]
Caffey_disease_severe_variants_with_prenatal_onset : without definition [fr, en]
colon_adenocarcinoma : without label [fr, en]
colon_adenocarcinoma : without definition [fr, en]
ependymal_cyst : without label [fr, en]
ependymal_cyst : without definition [fr, en]
magnesium_sulfate : without label [fr, en]
magnesium_sulfate : without definition [fr, en]
myxomatous_valvular_degeneration : without label [fr, en]
myxomatous_valvular_degeneration : without definition [fr, en]
acromelia : without label [fr, en]
acromelia : without definition [fr, en]
congenital_onycholysis : without label [fr, en]
congenital_onycholysis : without definition [fr, en]
anomalous_systemic_venous_return_to_left_atrium : without label [fr, en]
anomalous_systemic_venous_return_to_left_atrium : without definition [fr, en]
percutaneous_high_pressure_injection : without label [fr, en]
percutaneous_high_pressure_injection : without definition [fr, en]
DOID_5426 : without label [fr, en]
DOID_5426 : without definition [fr, en]
whole_brain_radiation : without label [fr, en]
whole_brain_radiation : without definition [fr, en]
familial_osteochondritis_dissecans : without label [fr, en]
familial_osteochondritis_dissecans : without definition [fr, en]
hypoalbuminemic_state : without label [fr, en]
hypoalbuminemic_state : without definition [fr, en]
DOID_10480 : without label [fr, en]
DOID_10480 : without definition [fr, en]
colitis_cystica_profunda : without label [fr, en]
colitis_cystica_profunda : without definition [fr, en]
embolism_of_lymphangiographic_contrast_material : without label [fr, en]
embolism_of_lymphangiographic_contrast_material : without definition [fr, en]
DOID_10488 : without label [fr, en]
DOID_10488 : without definition [fr, en]
DOID_10485 : without label [fr, en]
DOID_10485 : without definition [fr, en]
sinus_thrombosis : without label [fr, en]
sinus_thrombosis : without definition [fr, en]
Lutembacher_syndrome : without label [fr, en]
Lutembacher_syndrome : without definition [fr, en]
dilated_airway_distal_to_the_obstruction : without label [fr, en]
dilated_airway_distal_to_the_obstruction : without definition [fr, en]
lymphomatous_meningitis : without label [fr, en]
lymphomatous_meningitis : without definition [fr, en]
normal_variant : without label [fr, en]
normal_variant : without definition [fr, en]
stone_in_common_duct : without label [fr, en]
stone_in_common_duct : without definition [fr, en]
diaphyseal_bone_lesion : without label [fr, en]
diaphyseal_bone_lesion : without definition [fr, en]
cervical_spine_trauma : without label [fr, en]
cervical_spine_trauma : without definition [fr, en]
bagassosis : without label [fr, en]
bagassosis : without definition [fr, en]
normal_variant_bipartite_patella : without label [fr, en]
normal_variant_bipartite_patella : without definition [fr, en]
Chiari_I_malformation : without label [fr, en]
Chiari_I_malformation : without definition [fr, en]
adenine_phosphoribosyltransferase_deficiency : without label [fr, en]
adenine_phosphoribosyltransferase_deficiency : without definition [fr, en]
pili_torti : without label [fr, en]
pili_torti : without definition [fr, en]
Laron_dwarfism : without label [fr, en]
Laron_dwarfism : without definition [fr, en]
collapsed_syrinx : without label [fr, en]
collapsed_syrinx : without definition [fr, en]
anterior_vertebral_wedging : without label [fr, en]
anterior_vertebral_wedging : without definition [fr, en]
epidural_mastoid_cyst : without label [fr, en]
epidural_mastoid_cyst : without definition [fr, en]
allergic_angiitis : without label [fr, en]
allergic_angiitis : without definition [fr, en]
parainfluenza_virus : without label [fr, en]
parainfluenza_virus : without definition [fr, en]
tracheal_injury : without label [fr, en]
tracheal_injury : without definition [fr, en]
