
======================================================= 
Ontology Annotation Diagnostics
======================================================= 

--------------------------------------- 
Data properties annotations diagnostics
--------------------------------------- 
abbrev : without label [fr, en]
abbrev : without definition [fr, en]
area : without label [fr, en]
area : without definition [fr, en]
carCode : without label [fr, en]
carCode : without definition [fr, en]
depth : without label [fr, en]
depth : without definition [fr, en]
elevation : without label [fr, en]
elevation : without definition [fr, en]
established : without label [fr, en]
established : without definition [fr, en]
gdpAgri : without label [fr, en]
gdpAgri : without definition [fr, en]
gdpInd : without label [fr, en]
gdpInd : without definition [fr, en]
gdpServ : without label [fr, en]
gdpServ : without definition [fr, en]
gdpTotal : without label [fr, en]
gdpTotal : without definition [fr, en]
government : without label [fr, en]
government : without definition [fr, en]
independenceDate : without label [fr, en]
independenceDate : without definition [fr, en]
infantMortality : without label [fr, en]
infantMortality : without definition [fr, en]
inflation : without label [fr, en]
inflation : without definition [fr, en]
lastEruption : without label [fr, en]
lastEruption : without definition [fr, en]
latitude : without label [fr, en]
latitude : without definition [fr, en]
length : without label [fr, en]
length : without definition [fr, en]
localname : without label [fr, en]
localname : without definition [fr, en]
longitude : without label [fr, en]
longitude : without definition [fr, en]
name : without label [fr, en]
name : without definition [fr, en]
othername : without label [fr, en]
othername : without definition [fr, en]
percent : without label [fr, en]
percent : without definition [fr, en]
population : without label [fr, en]
population : without definition [fr, en]
populationGrowth : without label [fr, en]
populationGrowth : without definition [fr, en]
type : without label [fr, en]
type : without definition [fr, en]
unemployment : without label [fr, en]
unemployment : without definition [fr, en]
value : without label [fr, en]
value : without definition [fr, en]
year : without label [fr, en]
year : without definition [fr, en]

--------------------------------------- 
Object properties annotations diagnostics
--------------------------------------- 
believeInReligion : without label [fr, en]
believeInReligion : without definition [fr, en]
believedInCountry : without label [fr, en]
believedInCountry : without definition [fr, en]
belongToEthnicGroup : without label [fr, en]
belongToEthnicGroup : without definition [fr, en]
belongsTo : without label [fr, en]
belongsTo : without definition [fr, en]
belongsToIslands : without label [fr, en]
belongsToIslands : without definition [fr, en]
borders : without label [fr, en]
borders : without definition [fr, en]
capital : without label [fr, en]
capital : without definition [fr, en]
cityIn : without label [fr, en]
cityIn : without definition [fr, en]
dependentOf : without label [fr, en]
dependentOf : without definition [fr, en]
encompassed : without label [fr, en]
encompassed : without definition [fr, en]
encompassedArea : without label [fr, en]
encompassedArea : without definition [fr, en]
encompassedBy : without label [fr, en]
encompassedBy : without definition [fr, en]
encompassedByInfo : without label [fr, en]
encompassedByInfo : without definition [fr, en]
encompasses : without label [fr, en]
encompasses : without definition [fr, en]
encompassesInfo : without label [fr, en]
encompassesInfo : without definition [fr, en]
ethnicInfo : without label [fr, en]
ethnicInfo : without definition [fr, en]
ethnicInfo- : without label [fr, en]
ethnicInfo- : without definition [fr, en]
flowsInto : without label [fr, en]
flowsInto : without definition [fr, en]
flowsThrough : without label [fr, en]
flowsThrough : without definition [fr, en]
followedInInfo : without label [fr, en]
followedInInfo : without definition [fr, en]
hadPopulation : without label [fr, en]
hadPopulation : without definition [fr, en]
hasBorder : without label [fr, en]
hasBorder : without definition [fr, en]
hasCity : without label [fr, en]
hasCity : without definition [fr, en]
hasEstuary : without label [fr, en]
hasEstuary : without definition [fr, en]
hasEstuary- : without label [fr, en]
hasEstuary- : without definition [fr, en]
hasHeadq : without label [fr, en]
hasHeadq : without definition [fr, en]
hasMember : without label [fr, en]
hasMember : without definition [fr, en]
hasMembership : without label [fr, en]
hasMembership : without definition [fr, en]
hasProvince : without label [fr, en]
hasProvince : without definition [fr, en]
hasSource : without label [fr, en]
hasSource : without definition [fr, en]
hasSource- : without label [fr, en]
hasSource- : without definition [fr, en]
inMountains : without label [fr, en]
inMountains : without definition [fr, en]
inOrganization : without label [fr, en]
inOrganization : without definition [fr, en]
isBorderOf : without label [fr, en]
isBorderOf : without definition [fr, en]
isCapitalOf : without label [fr, en]
isCapitalOf : without definition [fr, en]
isInMembership : without label [fr, en]
isInMembership : without definition [fr, en]
isMember : without label [fr, en]
isMember : without definition [fr, en]
isProvinceOf : without label [fr, en]
isProvinceOf : without definition [fr, en]
languageInfo : without label [fr, en]
languageInfo : without definition [fr, en]
languageInfo- : without label [fr, en]
languageInfo- : without definition [fr, en]
liveInCountry : without label [fr, en]
liveInCountry : without definition [fr, en]
liveInInfo : without label [fr, en]
liveInInfo : without definition [fr, en]
locatedAt : without label [fr, en]
locatedAt : without definition [fr, en]
locatedIn : without label [fr, en]
locatedIn : without definition [fr, en]
locatedInWater : without label [fr, en]
locatedInWater : without definition [fr, en]
locatedOnIsland : without label [fr, en]
locatedOnIsland : without definition [fr, en]
mergesWith : without label [fr, en]
mergesWith : without definition [fr, en]
neighbor : without label [fr, en]
neighbor : without definition [fr, en]
ofMember : without label [fr, en]
ofMember : without definition [fr, en]
ofObject : without label [fr, en]
ofObject : without definition [fr, en]
onEthnicGroup : without label [fr, en]
onEthnicGroup : without definition [fr, en]
onLanguage : without label [fr, en]
onLanguage : without definition [fr, en]
onReligion : without label [fr, en]
onReligion : without definition [fr, en]
religionInfo : without label [fr, en]
religionInfo : without definition [fr, en]
religionInfo- : without label [fr, en]
religionInfo- : without definition [fr, en]
speakLanguage : without label [fr, en]
speakLanguage : without definition [fr, en]
spokenInCountry : without label [fr, en]
spokenInCountry : without definition [fr, en]
spokenInInfo : without label [fr, en]
spokenInInfo : without definition [fr, en]
wasDependentOf : without label [fr, en]
wasDependentOf : without definition [fr, en]

--------------------------------------- 
Classes annotations diagnostics
--------------------------------------- 
Border : without label [fr, en]
Border : without definition [fr, en]
EthnicGroup : without label [fr, en]
EthnicGroup : without definition [fr, en]
Islands : without label [fr, en]
Islands : without definition [fr, en]
Thing : without label [fr, en]
Thing : without definition [fr, en]
MondialThing : without label [fr, en]
MondialThing : without definition [fr, en]
AdministrativeArea : without label [fr, en]
AdministrativeArea : without definition [fr, en]
Place : without label [fr, en]
Place : without definition [fr, en]
PoliticalOrGeographicalThing : without label [fr, en]
PoliticalOrGeographicalThing : without definition [fr, en]
TimeSeriesElement : without label [fr, en]
TimeSeriesElement : without definition [fr, en]
Estuary : without label [fr, en]
Estuary : without definition [fr, en]
Geometrical : without label [fr, en]
Geometrical : without definition [fr, en]
AnthropoGeographicalThing : without label [fr, en]
AnthropoGeographicalThing : without definition [fr, en]
EthnicProportion : without label [fr, en]
EthnicProportion : without definition [fr, en]
Desert : without label [fr, en]
Desert : without definition [fr, en]
BelievedBy : without label [fr, en]
BelievedBy : without definition [fr, en]
Province : without label [fr, en]
Province : without definition [fr, en]
Measurement : without label [fr, en]
Measurement : without definition [fr, en]
Organization : without label [fr, en]
Organization : without definition [fr, en]
Location : without label [fr, en]
Location : without definition [fr, en]
GeographicalNonPoliticalThing : without label [fr, en]
GeographicalNonPoliticalThing : without definition [fr, en]
ReifiedThing : without label [fr, en]
ReifiedThing : without definition [fr, en]
PopulationCount : without label [fr, en]
PopulationCount : without definition [fr, en]
Continent : without label [fr, en]
Continent : without definition [fr, en]
LargeArea : without label [fr, en]
LargeArea : without definition [fr, en]
Membership : without label [fr, en]
Membership : without definition [fr, en]
Nothing : without label [fr, en]
Nothing : without definition [fr, en]
Water : without label [fr, en]
Water : without definition [fr, en]
Religion : without label [fr, en]
Religion : without definition [fr, en]
EncompassedArea : without label [fr, en]
EncompassedArea : without definition [fr, en]
Lake : without label [fr, en]
Lake : without definition [fr, en]
Country : without label [fr, en]
Country : without definition [fr, en]
Encompassed : without label [fr, en]
Encompassed : without definition [fr, en]
NonGeographicalPoliticalThing : without label [fr, en]
NonGeographicalPoliticalThing : without definition [fr, en]
Area : without label [fr, en]
Area : without definition [fr, en]
Island : without label [fr, en]
Island : without definition [fr, en]
YearlyMeasurement : without label [fr, en]
YearlyMeasurement : without definition [fr, en]
AdministrativeSubdivision : without label [fr, en]
AdministrativeSubdivision : without definition [fr, en]
Mountain : without label [fr, en]
Mountain : without definition [fr, en]
AnthropoGeographicalRelationship : without label [fr, en]
AnthropoGeographicalRelationship : without definition [fr, en]
Mountains : without label [fr, en]
Mountains : without definition [fr, en]
River : without label [fr, en]
River : without definition [fr, en]
GeographicalThing : without label [fr, en]
GeographicalThing : without definition [fr, en]
Language : without label [fr, en]
Language : without definition [fr, en]
SmallArea : without label [fr, en]
SmallArea : without definition [fr, en]
City : without label [fr, en]
City : without definition [fr, en]
PoliticalThing : without label [fr, en]
PoliticalThing : without definition [fr, en]
Volcano : without label [fr, en]
Volcano : without definition [fr, en]
Line : without label [fr, en]
Line : without definition [fr, en]
SpokenBy : without label [fr, en]
SpokenBy : without definition [fr, en]
PoliticalBody : without label [fr, en]
PoliticalBody : without definition [fr, en]
Sea : without label [fr, en]
Sea : without definition [fr, en]
Source : without label [fr, en]
Source : without definition [fr, en]
